company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
Philips,"Co-op-Manufacturing Engineering - Reedsville, PA-January-June 2027",Summer 2027,False,,Co-op,,Manufacturing & Quality,"Reedsville, Pennsylvania, United States",unknown,,,,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Reedsville-Pennsylvania-United-States/Manufacturing-Engineering-Co-Op-January-June-2027_587807
Stanley Black & Decker,Mechanical Engineering Intern Summer 2027,Summer 2027,False,,Internship,,Mechanical Design,"Towson, MD, United States",unknown,124,$22–$27/hr,SolidWorks; AutoCAD; CAD,2026-09-01T00:00:00Z,date_only,2026-09-01T21:14:35Z,https://sbdinc.wd1.myworkdayjobs.com/Stanley_Black_Decker_Career_Site/job/Towson-MD-United-States/Mechanical-Engineering-Intern-Summer-2027_REQ-1000052017
Stryker,Quality Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Flower Mound, Texas",unknown,104,,CAD; LabVIEW,2026-09-01T00:00:00Z,date_only,2026-09-02T04:51:16Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Flower-Mound-Texas/Quality-Engineering-Intern_R572886
Stryker,Mechanical Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Redmond, Washington",unknown,104,,CAD; FEA,2026-09-01T00:00:00Z,date_only,2026-09-02T04:51:16Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Redmond-Washington/Mechanical-Engineering-Intern_R572728
Stryker,Post Market Quality Engineering Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Redmond, Washington",unknown,104,,CAD; FEA,2026-09-01T00:00:00Z,date_only,2026-09-01T21:14:35Z,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Redmond-Washington/Post-Market-Quality-Engineering-Intern_R572871
TRUMPF,CNC Programming Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Farmington, CT",unknown,4,,CNC,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/CNC-Programming-Intern_R00042595
TRUMPF,Industrial Engineering Internship,Not stated,True,,Internship,,Manufacturing & Quality,"Farmington, CT",unknown,4,,,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/Industrial-Engineering-Internship_R00042497
TRUMPF,Manufacturing Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Farmington, CT",unknown,4,,SolidWorks; CAD; CNC,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/Manufacturing-Intern_R00042282
TRUMPF,Manufacturing Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Farmington, CT",unknown,4,,SolidWorks,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/Manufacturing-Intern_R00042598
TRUMPF,Manufacturing Smart Factory Intern,Not stated,True,,Internship,,Manufacturing & Quality,"Farmington, CT",unknown,4,,SolidWorks,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/Manufacturing-Smart-Factory-Intern_R00042597
TRUMPF,Mechanical Engineering Intern,Not stated,True,,Internship,,Mechanical Design,"Farmington, CT",unknown,4,,SolidWorks; CAD,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Farmington-CT/Mechanical-Engineering-Intern_R00042708
TRUMPF,Mechatronics Intern,Not stated,True,,Internship,,Controls & Mechatronics,"Plymouth, MI",unknown,4,,,2026-09-01T00:00:00Z,date_only,2026-09-01T16:51:40Z,https://trumpf.wd3.myworkdayjobs.com/TRUMPF_Students/job/Plymouth-MI/Mechatronics-Intern_R00042702-1
Lexington Medical,Mechanical Engineering Intern,Summer 2027,False,,Internship,,Mechanical Design,"Bedford, MA",unknown,3,,,2026-08-31T11:13:30-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/lexingtonmedical/jobs/5400185008
Lexington Medical,Manufacturing Engineering Intern,Summer 2027,False,,Internship,,Manufacturing & Quality,"Bedford, MA",unknown,3,,,2026-08-31T11:18:35-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/lexingtonmedical/jobs/5404584008
Olsson,Mechanical Engineering Internship - Data Center Facilities,Summer 2027,False,,Internship,,Mechanical Design,"Dallas, TX; Fort Worth, TX; North Kansas City, MO; Omaha, NE; Tulsa, OK",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396012008
Olsson,Structural Engineering Internship - Federal Infrastructure,Summer 2027,False,,Internship,,Structures & FEA,"Overland Park, KS",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396073008
Olsson,Mechanical Engineering Internship - Federal Infrastructure,Summer 2027,False,,Internship,,Mechanical Design,"Overland Park, KS",unknown,2,,,2026-08-31T17:00:00-04:00,exact,2026-08-31T23:04:21Z,https://job-boards.greenhouse.io/olsson/jobs/5396095008
